name,activity_type,price,length,best_time,drive_min_from_dtla,visited,latitude,longitude,website,geocode_query,notes
Elefante,Restaurant,$$$,1-3h,Evening,18,no,,,,"Elefante, Venice, Los Angeles",ESTIMATE | prev geocode failed - try address
Macaroni Republic,Restaurant,$$,1-3h,Evening,12,no,,,,"Macaroni Republic, Los Angeles",ESTIMATE
Donne,Restaurant,$$,1-3h,Evening,15,no,,,,"Donne, Los Angeles",ESTIMATE
Wax Paper,Restaurant,$,<1h,Lunch,14,no,,,,"Wax Paper, Los Angeles",ESTIMATE
Villa's Tacos,Restaurant,$,<1h,Anytime,12,no,,,,Villa's Tacos Highland Park Los Angeles CA,ESTIMATE
Pantry West,Restaurant,$$,1-3h,Anytime,20,no,,,,"Pantry West, Los Angeles",ESTIMATE | distinct from 'Pantry' - verify
Red Bird,Restaurant,$$$$,1-3h,Evening,5,no,,,,"Redbird, Los Angeles",ESTIMATE
Rainforest Cafe,Restaurant,$$,1-3h,Anytime,40,no,,,,"Rainforest Cafe, Ontario Mills, CA",ESTIMATE | likely Ontario Mills location
Slice and Pint,Restaurant,$$,1-3h,Evening,16,no,,,,"Slice and Pint, Los Angeles",ESTIMATE
Companion,Restaurant,$$$,1-3h,Evening,16,no,,,,"Companion, Los Angeles",ESTIMATE
Cosetta,Restaurant,$$,1-3h,Evening,15,no,,,,"Cosetta, Los Angeles",ESTIMATE
Le Great Outdoor,Restaurant,$$,1-3h,Evening,14,no,,,,"Le Grand Outdoor, Los Angeles",ESTIMATE | spelling uncertain
Beethoven Market,Restaurant,$,<1h,Lunch,22,no,,,,"Beethoven Market, Los Angeles",ESTIMATE
Gjusta,Restaurant,$$$,1-3h,Morning,20,no,,,,"Gjusta, Venice, Los Angeles",ESTIMATE
De La Nonna,Restaurant,$$,1-3h,Evening,6,no,,,,"De La Nonna, Los Angeles",ESTIMATE | Arts District
Great White,Restaurant,$$,1-3h,Morning,20,yes,,,,Great White restaurant Venice Los Angeles CA,ESTIMATE
Cafe on 27,Restaurant,$$,1-3h,Morning,18,no,,,,"Cafe on 27, Los Angeles",ESTIMATE
Calabra,Restaurant,$$$,1-3h,Evening,18,no,,,,"Calabra, Santa Monica",ESTIMATE | Santa Monica Proper rooftop
John and Vinny's,Restaurant,$$$,1-3h,Evening,12,no,,,,"Jon and Vinny's, Los Angeles",ESTIMATE
All'Antico Vinaio,Restaurant,$,<1h,Lunch,10,yes,,,,"All'Antico Vinaio, Los Angeles",ESTIMATE
Alba,Restaurant,$$$,1-3h,Evening,12,no,,,,"Alba, Los Angeles",ESTIMATE
Union Pasadena,Restaurant,$$$,1-3h,Evening,18,no,,,,"Union, Pasadena, CA",ESTIMATE
Burger She Wrote,Restaurant,$$,1-3h,Lunch,14,no,,,,"Burger She Wrote, Los Angeles",ESTIMATE
Negroni,Restaurant,$$$,1-3h,Evening,14,yes,,,,"Negroni, Los Angeles",ESTIMATE
Pantry,Restaurant,$$,1-3h,Anytime,5,no,,,,"The Original Pantry Cafe, Los Angeles",ESTIMATE | distinct from 'Pantry West'
The Woods,Restaurant,$$,1-3h,Evening,16,no,,,,"The Woods, Los Angeles",ESTIMATE
Tea At Shiloh,Restaurant,$$,1-3h,Afternoon,16,no,,,,"Tea at Shiloh, Los Angeles",ESTIMATE
Dog People,Restaurant,$$,1-3h,Evening,14,no,,,,"Dog People, Los Angeles",ESTIMATE
Seco,Restaurant,$$,1-3h,Evening,15,no,,,,"Seco, Los Angeles",ESTIMATE
Wife and the Somm,Restaurant,$$$,1-3h,Evening,16,no,,,,"Wife and the Somm, Los Angeles",ESTIMATE
Hippo,Restaurant,$$$,1-3h,Evening,12,no,,,,"Hippo, Highland Park, Los Angeles",ESTIMATE
Etra,Restaurant,$$$,1-3h,Evening,12,no,,,,"Etra, Los Angeles",ESTIMATE
Cento Pasta + Raw Bar,Restaurant,$$$,1-3h,Evening,10,no,,,,"Cento Pasta Bar, Los Angeles",ESTIMATE | see 'Cento Bar' - may be same
Blossom,Restaurant,$$,1-3h,Lunch,8,no,,,,"Blossom, Los Angeles",ESTIMATE
Flippers,Restaurant,$$,1-3h,Anytime,16,no,,,,"Flippers, Los Angeles",ESTIMATE
Messob,Restaurant,$$,1-3h,Evening,12,no,,,,"Messob Ethiopian, Los Angeles",ESTIMATE | Little Ethiopia
Tatami Sushi,Restaurant,$$,1-3h,Evening,18,no,,,,"Tatami Sushi, Los Angeles",ESTIMATE
Papi's,Restaurant,$,<1h,Anytime,14,yes,,,,"Papi's, Los Angeles",ESTIMATE
Leo's Tacos,Restaurant,$,<1h,Late night,12,yes,,,,"Leo's Tacos Truck, Los Angeles",ESTIMATE | prev geocode failed
