name,activity_type,price,length,best_time,visited,latitude,longitude,geocode_query,notes
Elefante,Restaurant,$$$,1-3h,Evening,no,,,"Elefante, Venice, Los Angeles",
Villa's Tacos,Restaurant,$,<1h,Anytime,no,,,"Villa's Tacos Highland Park Los Angeles CA",
Great White,Restaurant,$$,1-3h,Morning,yes,,,"Great White restaurant Venice Los Angeles CA",
Leo's Tacos,Restaurant,$,<1h,Late night,yes,,,"Leo's Tacos Truck Los Angeles",
The Varnish,Bar,$$,1-3h,Late night,no,,,"The Varnish, Los Angeles",
Death and Co LA,Bar,$$$,1-3h,Late night,no,,,"Death & Co, Los Angeles",
Intelligentsia,Cafe,$$,<1h,Morning,no,,,"Intelligentsia Coffee Silver Lake Los Angeles CA",
Blue Bottle,Cafe,$$,<1h,Morning,no,,,"Blue Bottle Coffee Los Angeles CA","ambiguous - many locations, verify which"
Runyon Canyon Hike,Hike,Free,1-3h,Morning,yes,,,"Runyon Canyon Park Los Angeles CA",
Griffith Observatory,Outdoors,Free,1-3h,Evening,no,,,"Griffith Observatory Los Angeles CA",
The Last Bookstore,Activity,Free,1-3h,Anytime,yes,,,"The Last Bookstore downtown Los Angeles CA",
The Broad,Museum,Free,1-3h,Afternoon,no,,,"The Broad museum downtown Los Angeles CA",
Getty Center,Museum,Free,Half-day,Afternoon,no,,,"Getty Center Los Angeles CA","free entry, paid parking",
Santa Monica Pier,Outdoors,Free,1-3h,Afternoon,yes,,,"Santa Monica Pier Santa Monica CA",
Venice Canals,Outdoors,Free,1-3h,Afternoon,no,,,"Venice Canals Historic District Los Angeles CA",
y2k deadstock store,Shopping,$$,<1h,Afternoon,no,,,"1717 S Figueroa St Los Angeles CA 90015","had explicit address in source list",
Ojai,Day trip,$$,Full-day,Anytime,no,,,"Ojai CA","NOT in LA - ~90min drive, day trip",
Catalina Island Day,Day trip,$$$,Full-day,Anytime,no,,,"Catalina Island Avalon CA","NOT a drive - ferry from San Pedro/Long Beach",
