name,activity_type,price,length,best_time,drive_min_from_dtla,visited,latitude,longitude,website,geocode_query,notes
Elefante,Restaurant,$$$,1-3h,Evening,18,no,,,,"Elefante, Venice, Los Angeles",ESTIMATE | prev geocode failed - try address | GEOCODE FAILED
Macaroni Republic,Restaurant,$$,1-3h,Evening,12,no,,,,"Macaroni Republic, Los Angeles",ESTIMATE | GEOCODE FAILED
Donne,Restaurant,$$,1-3h,Evening,15,no,,,,"Donne, Los Angeles",ESTIMATE | GEOCODE FAILED
Wax Paper,Restaurant,$,<1h,Lunch,14,no,34.061319,-118.238551,,"Wax Paper, Los Angeles","ESTIMATE | matched: Wax Paper, North Broadway, New Chinatown, Civic Ce"
Villa's Tacos,Restaurant,$,<1h,Anytime,12,no,34.108600,-118.196943,,Villa's Tacos Highland Park Los Angeles CA,"ESTIMATE | matched: Villa's Tacos, 5455, North Figueroa Street, Highla"
Pantry West,Restaurant,$$,1-3h,Anytime,20,no,34.054736,-118.384827,,"Pantry West, Los Angeles",ESTIMATE | distinct from 'Pantry' - verify | matched: JFS/SOVA Community Food & Resource Program Food Pa
Red Bird,Restaurant,$$$$,1-3h,Evening,5,no,33.991332,-118.097309,,"Redbird, Los Angeles","ESTIMATE | matched: Redbird Drive, Pico Rivera, Los Angeles County, Ca"
Rainforest Cafe,Restaurant,$$,1-3h,Anytime,40,no,34.072401,-117.548719,,"Rainforest Cafe, Ontario Mills, CA","ESTIMATE | likely Ontario Mills location | matched: Rainforest Cafe, 1, Mills Circle, Ontario Mills, O"
Slice and Pint,Restaurant,$$,1-3h,Evening,16,no,33.851553,-118.389526,,"Slice and Pint, Los Angeles","ESTIMATE | matched: The Slice and Pint, 601, Pacific Coast Highway, Re"
Companion,Restaurant,$$$,1-3h,Evening,16,no,33.978701,-118.405811,,"Companion, Los Angeles","ESTIMATE | matched: BFF Companion, West Bluff Creek Drive, Los Angeles"
Cosetta,Restaurant,$$,1-3h,Evening,15,no,,,,"Cosetta, Los Angeles",ESTIMATE | GEOCODE FAILED
